,NOC
5,AND
6,ANG
7,ANT
11,ARU
12,ASA
17,BAN
21,BEN
23,BHU
24,BIH
25,BIZ
28,BOL
32,BRU
35,CAF
36,CAM
38,CAY
39,CGO
40,CHA
45,COD
46,COK
48,COM
52,CRT
64,ESA
73,FSM
75,GAM
77,GBS
80,GEQ
86,GUI
87,GUM
91,HON
103,IVB
110,KIR
115,LAO
117,LBA
118,LBN
119,LBR
121,LES
123,LIE
126,MAD
127,MAL
130,MAW
132,MDV
135,MHL
137,MLI
138,MLT
143,MTN
144,MYA
146,NBO
147,NCA
149,NEP
150,NFL
154,NRU
156,OMA
162,PLE
163,PLW
164,PNG
170,RHO
172,ROT
176,RWA
177,SAA
178,SAM
181,SEY
183,SKN
184,SLE
187,SOL
188,SOM
191,SSD
192,STP
198,SWZ
206,TLS
212,TUV
217,UNK
222,VAN
225,VIN
226,VNM
228,YAR
229,YEM
230,YMD
